CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,10829,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,ATOM,9.217591915,-2082881.579071,-19199152.4023888,1586275.588153,14621641.0357433,-496605.990918,-4577511.36664549
osmosis,osmosis-dex,2023-11-29,43,ibc/1B708808D372E959CD4839C594960309283424C775F4A038AAEBE7F83A988477,QSR,0.0536501566,-13488.554337,-723.663052543,0,0,-13488.554337,-723.663052543
osmosis,osmosis-dex,2023-11-29,6,ibc/DEE262653B9DE39BCEF0493D47E0DFC4FE62F7F046CF38B9FDEFEBE98D149A71,NEOK,1.025688623,-977.341517204,-1002.448075005,0,0,-977.341517204,-1002.448075005
osmosis,osmosis-dex,2023-11-29,125,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,CMDX,0.01799180049,-266065.137621,-4786.990874528,111085.68412,1998.631466444,-154979.453501,-2788.359408084
osmosis,osmosis-dex,2023-11-29,39,ibc/346786EA82F41FE55FAD14BF69AD8BA9B36985406E43F3CB23E6C45A285A9593,DARC,0.000826987335,-874075.498421,-722.849367024,664328.041299,549.390876437,-209747.457122,-173.458490588
osmosis,osmosis-dex,2023-11-29,1,ibc/F16FDC11A7662B86BC0B9CE61871CBACF7C20606F95E86260FD38915184B75B4,L1,0.05080129103,-10.98887013,-0.5582487896,0,0,-10.98887013,-0.5582487896
osmosis,osmosis-dex,2023-11-29,7,ibc/B797E4F42CD33C50511B341E50C5CC0E8EF0D93B1E1247ABAA071583B8619202,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,4,ibc/63CDD51098FD99E04E5F5610A3882CBE7614C441607BA6FCD7F3A3C1CD5325F8,BLZ,"null",-1318.817551,"null",0,"null",-1318.817551,"null"
osmosis,osmosis-dex,2023-11-29,38,ibc/CFF40564FDA3E958D9904B8B479124987901168494655D9CC6B7C0EC0416020B,STRDST,"null",-11870.788583,"null",1145.322215,"null",-10725.466368,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/1DE9A32D603EE05E9B8619DF24D90FD518C932AE0B5B3209A986B7262DBADE2A,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,4,ibc/022A879A5301CBCACF96216C967805F15C33C615B74DC7236027C1BA1BF664FF,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,4,ibc/FBB3FEF80ED2344D821D4F95C31DBFD33E4E31D5324CAD94EF756E67B749F668,YieldETH,"null",-0.1404634651,"null",0,"null",-0.1404634651,"null"
osmosis,osmosis-dex,2023-11-29,52,ibc/208B2F137CDE510B44C41947C045CFDC27F996A9D990EA64460BDD5B3DBEB2ED,PASG,"null",-494098.499824,"null",30255.667051,"null",-463842.832773,"null"
osmosis,osmosis-dex,2023-11-29,24,factory/osmo1g8qypve6l95xmhgc0fddaecerffymsl7kn9muw/squosmo,sqOSMO,"null",-15632367.910197,"null",0,"null",-15632367.910197,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/C9864D1B9623F703C75BBF72B7FF8A7317E1535C96538D21467A4311246DC3B5,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,2,ibc/2F21E6D4271DE3F561F20A02CD541DAF7405B1E9CB3B9B07E3C2AC7D8A4338A5,wstETH,"null",-0.0043868088,"null",0,"null",-0.0043868088,"null"
osmosis,osmosis-dex,2023-11-29,7,ibc/56C276FC136E239449DCE664292DBEEF5795C4EF4B5B35DB98BD1C0948274867,"null","null",0,"null",0,"null",0,"null"
